 2010년 , 남 6세이하 , 남 12세이하 , 남 15세이하 , 남 20세이하 , 남 30세이하 , 남 40세이하 , 남 50세이하 , 남 60세이하 , 남 60세초과 , 여 6세이하 , 여 12세이하 , 여 15세이하 , 여 20세이하 , 여 30세이하 , 여 40세이하 , 여 50세이하 , 여 60세이하 , 여 60세초과 , 불상 
 부동산등기특별조치법위반 , - , - , - , - , - , 6 , 7 , 8 , 7 , - , - , - , - , - , 1 , 5 , 6 , 3 , 1 
 부동산실권리자명의등기에관한법률 , - , - , - , - , 2 , 6 , 21 , 16 , 16 , - , - , - , - , - , 4 , 18 , 11 , 5 , 18 
 부동산중개업법위반 , - , - , - , - , - , - , 5 , 7 , 3 , - , - , - , - , 1 , 1 , 6 , 4 , - , 2 
 부정경쟁방지및영업비밀보호에관한법률위반 , - , - , - , - , 7 , 47 , 116 , 60 , 21 , - , - , - , - , 1 , 2 , 21 , 7 , 1 , 52 
 부정수표단속법위반 , - , - , - , 3 , 16 , 100 , 313 , 252 , 69 , - , - , - , 1 , 6 , 40 , 53 , 51 , 19 , 633 
 사행행위등규제및처벌특례법위반 , 1 , - , - , - , 3 , 38 , 33 , 23 , 14 , 1 , - , - , - , 2 , 1 , - , 2 , 1 , 123 
 산림자원의조성및관리에관한법률위반 , - , - , - , - , 2 , 20 , 37 , 56 , 57 , - , - , - , - , - , 1 , 2 , 6 , 6 , 27 
 산업안전보건법위반 , - , - , - , 1 , 13 , 41 , 88 , 76 , 34 , - , - , - , - , 2 , 1 , - , 3 , 2 , 76 
 산업재해보상보험법위반 , - , - , - , - , - , 1 , 4 , - , - , - , - , - , - , - , - , - , - , - , 2 
 상법위반 , - , - , - , - , 1 , 1 , 9 , 8 , 2 , - , - , - , - , - , - , - , 1 , - , 6 
 상표법위반 , - , - , - , 1 , 40 , 260 , 141 , 126 , 35 , - , - , - , 2 , 11 , 24 , 28 , 15 , 5 , 219 
 석유사업법위반 , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , 1 , - , - , - 
 선박안전법위반 , - , - , - , - , - , - , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - , 15 
 선박직원법위반 , - , - , - , - , 2 , 3 , 16 , 4 , 1 , - , - , - , - , - , 1 , - , - , - , 40 
 선원법위반 , - , - , - , - , 1 , 2 , 1 , 3 , 4 , - , - , - , - , - , - , - , - , - , 5 
 성매매위반 , 1 , 1 , - , 1 , 13 , 37 , 25 , 37 , 41 , - , - , 8 , 24 , 107 , 36 , 12 , 6 , 1 , 487 
 소방기본법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 소음?진동관리법위반 , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , 6 
 수도법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 
 수산업법위반 , - , - , - , - , - , - , 10 , 8 , 6 , - , - , - , - , - , - , - , 1 , 1 , 327 
 수산자원관리법위반 , - , - , - , - , - , - , 11 , 23 , 26 , - , - , - , - , - , - , 1 , 1 , - , 42 
 수산자원보호령위반 , - , - , - , - , 1 , 3 , 17 , 9 , 1 , - , - , - , - , - , - , - , - , - , 17 
 수상레저안전법위반 , - , - , - , - , 3 , 2 , 3 , - , 1 , - , 1 , - , 1 , 1 , - , 1 , - , - , 16 
 수질환경보전법위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 식품위생법위반 , - , - , - , - , 19 , 65 , 112 , 113 , 46 , - , 1 , - , 1 , 8 , 20 , 38 , 32 , 15 , 336 
 신용정보의이용및보호에관한법률위반 , - , - , - , - , 4 , 7 , 11 , 4 , 2 , - , - , - , - , 3 , 5 , 3 , 1 , 1 , 5 
 실용신안법위반 , - , - , - , - , 1 , 2 , 43 , 201 , 17 , - , - , - , - , 1 , 2 , 39 , 24 , - , 10 
 액화석유가스의안전관리및사업법위반 , - , 1 , - , - , - , - , 7 , 2 , - , - , - , - , - , 1 , - , - , - , - , 3 
