"범죄별(1)",범죄별(2),범죄별(3),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"범죄별(1)",범죄별(2),범죄별(3),합계,남,남,남,남,남,남,남,남,남,남,남,여,여,여,여,여,여,여,여,여,여,여,미상
"범죄별(1)",범죄별(2),범죄별(3),계,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계
"특별법범",부동산 실권리자 명의등기에 관한법률,소계,489,85,-,-,-,-,1,6,22,32,24,-,15,-,-,-,-,-,1,5,5,4,-,389
"특별법범",부정경쟁방지 및 영업비밀보호에 관한법률,소계,563,234,-,-,-,-,8,33,94,83,14,2,41,-,-,-,-,4,15,9,11,1,1,288
"특별법범",부정수표단속법,소계,2299,65,-,-,-,1,-,-,10,32,12,10,13,-,-,-,-,-,2,2,7,-,2,2221
"특별법범",사행행위 등 규제 및 처벌특례법,소계,798,9,-,-,-,-,-,1,4,2,-,2,1,-,-,-,-,-,-,1,-,-,-,788
"특별법범",산림자원의조성및관리에관한법률,소계,911,143,-,-,-,-,-,6,24,48,48,17,17,-,-,-,-,-,-,2,5,9,1,751
"특별법범",산업안전보건법,소계,5802,350,-,-,-,-,14,27,53,93,38,125,17,-,-,-,-,-,2,5,2,1,7,5435
"특별법범",산지관리법,소계,2788,177,-,-,-,-,1,4,29,43,53,47,14,-,-,-,-,-,-,2,7,4,1,2597
"특별법범",상표법,소계,4395,982,-,-,-,-,148,194,206,392,27,15,209,-,-,-,-,15,29,112,17,2,34,3204
"특별법범",석유및석유대체연료사업법,소계,752,24,-,-,-,-,1,3,8,10,1,1,6,-,-,-,-,2,3,-,1,-,-,722
"특별법범",선박안전법,소계,2670,13,-,-,-,-,-,1,4,7,-,1,-,-,-,-,-,-,-,-,-,-,-,2657
"특별법범",선박직원법,소계,639,4,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,635
"특별법범",성매매알선등행위의처벌에관한법률,소계,15496,151,-,-,-,3,8,21,21,20,20,58,228,-,-,20,49,89,47,10,5,3,5,15117
"특별법범",소방시설설치및안전관리에관한법률,소계,175,5,-,-,-,-,-,-,-,-,4,1,1,-,-,-,-,-,-,1,-,-,-,169
