사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,구
201712,3호선,일원,12215,7547,2770,34747,강남구
201712,3호선,대청,16613,11883,3979,49088,강남구
201712,3호선,학여울,2842,2150,768,8602,강남구
201712,3호선,대치,15819,11922,4025,47585,강남구
201712,3호선,도곡,8038,5802,3484,25362,강남구
201712,3호선,매봉,10157,6962,2226,29502,강남구
201712,3호선,양재(서초구청),34052,22174,6683,96961,서초구
201712,3호선,남부터미널(예술의전당),25636,15629,4105,71006,서초구
201712,3호선,교대(법원.검찰청),4897,3482,1236,14512,서초구
201712,3호선,고속터미널,43735,25086,5159,117715,서초구
201712,3호선,잠원,11851,7868,2445,34015,서초구
201712,3호선,신사,19872,16877,6169,62790,강남구
201712,3호선,압구정,16232,10296,4246,47006,강남구
201712,3호선,옥수,20398,12901,3642,57339,성동구
201712,3호선,금호,17897,11628,3593,51015,성동구
201712,3호선,약수,21194,15340,6307,64035,중구
201712,3호선,동대입구,6270,4663,1575,18778,중구
201712,3호선,충무로,0,0,0,0,중구
201712,3호선,을지로3가,3252,2500,751,9755,중구
201712,3호선,종로3가,4613,3412,1168,13806,종로구
201712,3호선,안국,7674,5182,1606,22136,종로구
201712,3호선,경복궁(정부서울청사),14476,9580,3042,41574,종로구
201712,3호선,독립문,10506,7913,3802,32727,종로구
201712,3호선,무악재,9506,6937,2327,28276,서대문구
201712,3호선,홍제,36474,25208,6912,105068,서대문구
201712,3호선,녹번,24209,17049,4824,70291,은평구
201712,3호선,불광,34613,23871,7798,100895,은평구
201712,3호선,연신내,87212,63652,22176,260252,은평구
201712,3호선,구파발,34289,27095,9654,105327,은평구
201712,3호선,지축,2350,1214,160,6074,
201712,2호선,용두(동대문구청),2889,2035,635,8448,동대문구
201712,2호선,신정네거리,20898,15342,4681,61819,양천구
201712,2호선,양천구청,15082,13818,4656,48638,양천구
201712,2호선,도림천,1409,1196,457,4471,구로구
201712,2호선,신설동,2941,2496,896,9274,동대문구
201712,2호선,신답,2776,2300,694,8546,성동구
201712,2호선,용답,5914,4165,1299,17292,성동구
201712,2호선,충정로(경기대입구),14256,10425,3584,42521,서대문구
201712,2호선,아현,19544,14658,4775,58521,마포구
201712,2호선,이대,18869,15216,5352,58306,마포구
201712,2호선,신촌,51775,39964,14027,157541,서대문구
201712,2호선,홍대입구,100279,76852,28500,305910,마포구
201712,2호선,합정,41826,31371,11348,126371,마포구
201712,2호선,당산,41900,31949,9704,125453,영등포구
201712,2호선,영등포구청,25805,19881,7733,79224,영등포구
201712,2호선,문래,22279,16930,5806,67294,영등포구
201712,2호선,신도림,102124,84416,40227,328891,구로구
201712,2호선,대림(구로구청),71344,39771,11748,194207,영등포구
201712,2호선,구로디지털단지,115817,80209,23694,335537,구로구
201712,2호선,신대방,72986,47395,14223,207590,관악구
201712,2호선,신림,173671,124732,42588,514662,관악구
201712,2호선,봉천,46886,30684,10240,134696,관악구
201712,2호선,서울대입구(관악구청),107554,77325,29283,321716,관악구
201712,2호선,낙성대,68022,50000,16680,202724,관악구
201712,2호선,사당,88636,62953,21335,261560,동작구
201712,2호선,방배,26085,18066,6212,76448,서초구
201712,2호선,서초,13860,8635,2565,38920,서초구
201712,2호선,교대(법원.검찰청),32137,20550,6659,91483,서초구
201712,2호선,강남,71430,47443,15521,205824,강남구
201712,2호선,역삼,21315,14561,5575,62766,강남구
201712,2호선,선릉,23918,16690,8917,73443,강남구
201712,2호선,삼성(무역센터),21036,13504,7404,62980,강남구
201712,2호선,종합운동장,27731,18658,4969,79089,송파구
201712,2호선,잠실새내,48154,31135,10476,137919,송파구
201712,2호선,잠실(송파구청),123455,87917,22356,357183,송파구
201712,2호선,잠실나루,27307,19463,6927,81004,송파구
201712,2호선,강변(동서울터미널),77745,48810,13412,217712,광진구
201712,2호선,구의(광진구청),51321,32601,11543,146786,광진구
201712,2호선,건대입구,81114,53139,20153,235520,광진구
201712,2호선,성수,19427,14599,9441,62894,성동구
201712,2호선,뚝섬,18241,12813,5401,54696,성동구
201712,2호선,한양대,6550,5119,2038,20257,성동구
201712,2호선,왕십리(성동구청),26916,20549,9613,83994,성동구
201712,2호선,상왕십리,26048,17635,6573,76304,성동구
201712,2호선,신당,23086,17070,6087,69329,중구
201712,2호선,동대문역사문화공원,23479,16421,6460,69839,중구
201712,2호선,을지로4가,5614,4212,1293,16733,중구
201712,2호선,을지로3가,8721,6394,2362,26198,중구
201712,2호선,을지로입구,21066,14736,5259,62127,중구
201712,2호선,시청,8105,5857,2139,24206,중구
201712,1호선,동묘앞,8310,5786,4396,26802,종로구
201712,1호선,청량리(서울시립대입구),36249,26437,8959,107894,동대문구
201712,1호선,제기동,13353,9951,2721,39378,동대문구
201712,1호선,신설동,17741,13609,3694,52785,동대문구
201712,1호선,동대문,20551,16691,5872,63665,종로구
201712,1호선,종로5가,7094,4691,1780,20659,종로구
201712,1호선,종로3가,10834,7668,3529,32865,종로구
201712,1호선,종각,16151,13786,2580,48668,종로구
201712,1호선,시청,8836,5482,1817,24971,중구
201712,1호선,서울역,48341,27615,10795,135092,용산구
201712,경춘선,김유정,209,168,66,652,
201712,경춘선,남춘천,4376,2727,1983,13462,
201712,경춘선,춘천,1565,1119,1099,5348,
201712,공항철도 1호선,서울역,12099,5607,4717,34522,용산구
201712,공항철도 1호선,공덕,4285,3278,1971,13819,마포구
201712,공항철도 1호선,홍대입구,11983,10759,3447,38172,마포구
201712,공항철도 1호선,디지털미디어시티,7745,5511,3365,24366,은평구
201712,공항철도 1호선,김포공항,3832,2318,1714,11696,강서구
201712,공항철도 1호선,계양,29561,22061,6152,87335,
201712,우이신설선,4.19민주묘지,3600,2919,946,11065,강북구
201712,공항철도 1호선,검암,21093,16850,10603,69639,
201712,공항철도 1호선,청라국제도시,13266,8297,2596,37425,
201712,공항철도 1호선,운서,13280,11842,4417,42819,
201712,공항철도 1호선,공항화물청사,343,250,62,998,
201712,공항철도 1호선,인천공항1터미널,9207,8759,8332,35505,
201712,공항철도 1호선,영종,4575,3864,1763,14777,
201712,6호선,구산,11027,8328,2959,33341,은평구
201712,6호선,새절(신사),28950,20574,6181,84655,은평구
201712,6호선,증산(명지대앞),23434,16517,5173,68558,은평구
201712,6호선,디지털미디어시티,21217,15860,6082,64376,은평구
201712,과천선,선바위,11313,6374,2450,31450,
201712,6호선,월드컵경기장(성산),5259,3878,1058,15454,마포구
201712,6호선,마포구청,20553,14637,4492,60235,마포구
201712,6호선,망원,19549,13587,4048,56733,마포구
201712,6호선,합정,16794,12939,4186,50713,마포구
201712,6호선,상수,13649,11071,3216,41585,마포구
201712,6호선,광흥창(서강),11830,8977,2536,35173,마포구
201712,6호선,대흥(서강대앞),10564,8321,2357,31806,마포구
201712,6호선,공덕,20055,14287,7256,61653,마포구
201712,경강선,이매,1131,648,199,3109,
201712,경강선,삼동,3187,1909,43,8326,
201712,경강선,경기광주,9940,8137,94,28111,
201712,경강선,초월,5145,3840,0,14130,
201712,경강선,곤지암,2851,2332,0,8034,
201712,경강선,신둔도예촌,1728,1744,1,5201,
201712,경강선,이천,4651,3398,13,12713,
201712,경강선,부발,2836,2410,1384,9466,
201712,경강선,세종대왕릉,267,371,121,1026,
201712,경강선,여주,2946,2872,1208,9972,용산구
201712,경부선,서울역,1237,320,20,2814,용산구
201712,경부선,남영,12443,8803,1998,35687,용산구
201712,경부선,용산,24188,9685,3443,61504,동작구
201712,경부선,노량진,18347,13553,3312,53559,동작구
201712,경부선,대방,22544,16192,3837,65117,
201712,경춘선,강촌,414,377,67,1272,구로구
201712,7호선,천왕,16172,11837,4040,48221,구로구
201712,7호선,온수(성공회대입구),19056,14404,8023,60539,
201712,7호선,까치울,13956,8858,2340,39110,
201712,7호선,부천종합운동장,9658,6910,2423,28649,
201712,7호선,춘의,12119,8272,3068,35578,
201712,7호선,신중동,21736,17613,6695,67780,
201712,7호선,부천시청,17736,14283,4872,54627,
201712,7호선,상동,18901,15804,5034,58640,
201712,7호선,삼산체육관,10094,7615,3028,30831,
201712,7호선,굴포천,20812,13144,6240,61008,
201712,7호선,부평구청,21700,15526,7441,66367,강동구
201712,8호선,암사,36026,25185,7128,104365,영등포구
201712,경부선,영등포,42788,25615,7425,118616,구로구
201712,경부선,신도림,5113,3746,1990,15962,영등포구
201712,경부선,신길,15515,10523,3116,44669,구로구
201712,경부선,구로,26479,21820,22585,97363,금천구
201712,경부선,가산디지털단지,14276,8474,1372,38398,금천구
201712,경부선,금천구청,18280,13335,1349,51244,
201712,경부선,석수,19415,14638,1330,54798,
201712,경부선,관악,15768,12575,1587,45698,
201712,경부선,안양,40741,29804,4890,116176,
201712,경부선,명학,12479,10735,1719,37412,
201712,경부선,금정,52446,40242,15995,161129,
201712,경부선,군포,7334,5411,1095,21174,용산구
201712,6호선,효창공원앞,9321,6763,2643,28048,용산구
201712,6호선,삼각지,8308,6177,1733,24526,용산구
201712,6호선,녹사평(용산구청),6628,5467,1783,20506,용산구
201712,6호선,이태원,33915,30550,10311,108691,용산구
201712,6호선,한강진,3456,2837,2753,12502,중구
201712,6호선,버티고개,4085,2944,1008,12122,중구
201712,6호선,약수,3725,2596,984,11030,중구
201712,6호선,청구,4551,3299,1253,13654,중구
201712,6호선,신당,8422,13237,2794,32875,종로구
201712,6호선,동묘앞,10566,10628,3319,35079,종로구
201712,6호선,창신,6529,4316,1629,19003,성북구
201712,6호선,보문,14435,10084,3831,42785,성북구
201712,6호선,안암(고대병원앞),14829,12649,5746,48053,성북구
201712,6호선,고려대(종암),14960,13210,3472,46602,성북구
201712,6호선,월곡(동덕여대),21966,16527,4678,65137,성북구
201712,6호선,상월곡(한국과학기술연구원),11778,8580,2729,34865,
201712,과천선,경마공원,1294,898,347,3833,
201712,과천선,대공원,418,287,110,1233,
201712,과천선,과천,8159,6228,1996,24542,
201712,과천선,정부과천청사,8904,6423,1964,26195,
201712,과천선,인덕원,44054,34327,12388,134823,
201712,과천선,평촌,24350,16306,8341,73347,
201712,과천선,범계,43639,28863,14041,130182,강남구
201712,분당선,선릉,6385,4643,1063,18476,강남구
201712,분당선,한티,15425,11378,1317,43545,강남구
201712,분당선,도곡,8609,6516,1021,24755,강남구
201712,분당선,구룡,3182,2877,378,9619,강남구
201712,분당선,개포동,5586,3978,654,15804,강남구
201712,분당선,대모산입구,5571,3577,758,15477,강남구
201712,분당선,수서,18863,10085,1923,49734,송파구
201712,분당선,복정,0,0,0,0,
201712,분당선,수원,7872,4889,2381,23014,성동구
201712,분당선,서울숲,10587,6346,1442,28962,강남구
201712,분당선,압구정로데오,7216,4258,983,19673,강남구
201712,분당선,강남구청,7645,5456,1366,22112,강남구
201712,분당선,선정릉,4655,3409,906,13625,
201712,분당선,가천대,18663,14351,2339,54016,
201712,분당선,태평,33082,20118,3347,89629,
201712,분당선,모란,40114,28890,4351,113469,
201712,분당선,야탑,39245,26037,5989,110516,
201712,분당선,서현,26373,18001,3099,73846,
201712,분당선,수내,14026,9145,2247,39444,
201712,분당선,정자,26775,18046,6548,78144,
201712,분당선,미금,32425,23405,5977,94232,
201712,경부선,의왕,13488,10656,2741,40373,
201712,경부선,성균관대,31960,22527,7070,93517,
