날짜, 평균기온, 최고기온, 평균운량, 일강수량
2017-12-22, 3.4℃, 6.6℃, 8.4,  -
2017-12-23, 6.1℃, 8.7℃, 8.0,  -
2017-12-24, 2.9℃, 5.7℃, 6.6, 20.0mm
2017-12-25, -2.1℃, 0.6℃, 2.1,  -
2017-12-26, -3.8℃, -1.1℃, 0.3,  -
2017-12-27, -6.9℃, -2.6℃, 0.0,  -
2017-12-28, -2.1℃, 0.8℃, 8.5, 0.0mm
2017-12-29, 2.1℃, 6.0℃, 4.6, 0.0mm
2017-12-30, 1.4℃, 4.5℃, 9.3, 0.7mm
2017-12-31, -0.3℃, 3.3℃, 1.9, 1.0mm
