ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-8-6, 30.5กษ, 34.0กษ, 26.6กษ, 1.9,  -
2016-8-7, 30.6กษ, 35.0กษ, 27.0กษ, 0.9,  -
2016-8-8, 30.5กษ, 35.5กษ, 26.4กษ, 2.5,  -
2016-8-9, 29.3กษ, 33.6กษ, 26.4กษ, 3.8, 1.0mm
2016-8-10, 29.4กษ, 34.8กษ, 26.1กษ, 4.4,  -
2016-8-11, 30.5กษ, 36.4กษ, 26.1กษ, 0.3,  -
2016-8-12, 30.4กษ, 35.9กษ, 26.4กษ, 1.8,  -
2016-8-13, 30.2กษ, 35.1กษ, 26.8กษ, 3.0,  -
2016-8-14, 28.9กษ, 31.8กษ, 27.3กษ, 5.3, 0.2mm
2016-8-15, 29.1กษ, 34.0กษ, 25.8กษ, 6.1, 0.0mm
2016-8-16, 29.3กษ, 34.9กษ, 26.2กษ, 4.5, 0.5mm
2016-8-17, 29.9กษ, 34.7กษ, 25.1กษ, 3.3,  -
2016-8-18, 29.9กษ, 34.3กษ, 26.2กษ, 7.0,  -
2016-8-19, 28.9กษ, 33.2กษ, 26.6กษ, 7.5, 11.5mm
2016-8-20, 30.1กษ, 34.9กษ, 26.5กษ, 6.9,  -
2016-8-21, 30.7กษ, 36.6กษ, 26.9กษ, 4.4, 0.0mm
2016-8-22, 30.7กษ, 36.3กษ, 25.8กษ, 3.6, 0.4mm
2016-8-23, 28.3กษ, 33.0กษ, 26.0กษ, 5.1, 8.0mm
2016-8-24, 29.1กษ, 32.9กษ, 26.4กษ, 5.4, 0.0mm
2016-8-25, 27.1กษ, 32.2กษ, 24.0กษ, 7.0, 4.5mm
2016-8-26, 23.0กษ, 28.2กษ, 19.5กษ, 4.3, 20.0mm
2016-8-27, 23.4กษ, 29.7กษ, 16.9กษ, 4.9, 0.0mm
2016-8-28, 21.0กษ, 24.5กษ, 18.3กษ, 8.3, 1.5mm
2016-8-29, 22.2กษ, 27.1กษ, 17.4กษ, 5.1,  -
2016-8-30, 20.6กษ, 24.5กษ, 17.9กษ, 6.1, 0.0mm
2016-8-31, 17.7กษ, 19.2กษ, 16.1กษ, 8.4, 17.5mm
2016-9-1, 23.2กษ, 28.6กษ, 15.8กษ, 2.9,  -
2016-9-2, 24.2กษ, 29.0กษ, 20.6กษ, 6.5, 4.5mm
2016-9-3, 23.9กษ, 28.6กษ, 20.4กษ, 6.1, 0.5mm
2016-9-4, 25.6กษ, 29.6กษ, 22.1กษ, 7.3,  -
2016-9-5, 26.4กษ, 31.1กษ, 23.0กษ, 5.4,  -
2016-9-6, 24.7กษ, 29.0กษ, 21.0กษ, 4.4,  -
2016-9-7, 24.3กษ, 28.6กษ, 20.9กษ, 6.9,  -
2016-9-8, 23.0กษ, 26.5กษ, 21.5กษ, 8.1, 4.5mm
2016-9-9, 23.9กษ, 29.3กษ, 19.7กษ, 4.4,  -
2016-9-10, 24.4กษ, 29.1กษ, 20.0กษ, 6.3,  -
2016-9-11, 24.5กษ, 28.2กษ, 22.1กษ, 7.1,  -
2016-9-12, 23.4กษ, 27.5กษ, 21.4กษ, 4.5, 2.5mm
2016-9-13, 24.6กษ, 30.8กษ, 19.6กษ, 3.8,  -
2016-9-14, 24.6กษ, 28.9กษ, 21.4กษ, 5.0,  -
2016-9-15, 23.9กษ, 29.5กษ, 18.8กษ, 7.6,  -
2016-9-16, 24.6กษ, 29.5กษ, 20.4กษ, 9.3,  -
2016-9-17, 23.1กษ, 28.2กษ, 18.5กษ, 4.9, 7.0mm
2016-9-18, 23.5กษ, 28.3กษ, 20.2กษ, 5.4,  -
2016-9-19, 21.9กษ, 27.8กษ, 18.2กษ, 1.4,  -
2016-9-20, 20.6กษ, 26.8กษ, 15.4กษ, 1.1,  -
2016-9-21, 20.2กษ, 25.3กษ, 14.3กษ, 5.6,  -
2016-9-22, 21.9กษ, 27.2กษ, 17.5กษ, 3.9,  -
2016-9-23, 21.4กษ, 27.9กษ, 16.4กษ, 2.6,  -
2016-9-24, 22.3กษ, 28.9กษ, 16.5กษ, 3.3,  -
2016-9-25, 23.0กษ, 29.7กษ, 18.6กษ, 6.8,  -
2016-9-26, 23.6กษ, 28.9กษ, 19.7กษ, 5.4,  -
2016-9-27, 21.0กษ, 23.8กษ, 19.1กษ, 9.6, 13.5mm
2016-9-28, 19.9กษ, 21.8กษ, 18.7กษ, 10.0, 0.5mm
2016-9-29, 20.4กษ, 24.8กษ, 18.2กษ, 8.4,  -
2016-9-30, 20.5กษ, 23.5กษ, 17.7กษ, 8.8,  -
2016-10-1, 21.1กษ, 25.6กษ, 17.5กษ, 7.8,  -
2016-10-2, 19.0กษ, 22.4กษ, 16.7กษ, 9.8, 18.5mm
2016-10-3, 22.7กษ, 27.9กษ, 19.6กษ, 4.0, 6.5mm
2016-10-4, 22.0กษ, 29.0กษ, 15.6กษ, 0.9,  -
2016-10-5, 21.1กษ, 27.2กษ, 17.5กษ, 3.4,  -
2016-10-6, 18.0กษ, 23.5กษ, 13.6กษ, 2.8,  -
2016-10-7, 19.7กษ, 24.8กษ, 16.5กษ, 8.8, 2.0mm
2016-10-8, 16.8กษ, 21.8กษ, 10.3กษ, 5.5, 6.0mm
2016-10-9, 11.3กษ, 16.6กษ, 6.5กษ, 3.3,  -
2016-10-10, 14.0กษ, 21.4กษ, 7.4กษ, 4.4,  -
2016-10-11, 15.4กษ, 21.1กษ, 10.0กษ, 6.0,  -
2016-10-12, 15.5กษ, 20.7กษ, 11.4กษ, 3.3,  -
2016-10-13, 15.2กษ, 21.9กษ, 9.3กษ, 3.8,  -
